timestamp,asset_id,event_type,event_code,description
2024-03-01 06:14:22,CHILLER-01,STATUS_CHANGE,STANDBY -> RUNNING,
2024-03-01 06:14:25,PUMP-01,STATUS_CHANGE,OFF -> ON,
2024-03-02 14:33:07,AHU-03,FAULT,HIGH_ZONE_TEMP,Zone temp exceeded setpoint +3°C for >15min
2024-03-02 14:48:11,AHU-03,FAULT_CLEAR,HIGH_ZONE_TEMP,
2024-03-03 07:58:44,CHILLER-02,FAULT,COMPRESSOR_OVERTEMP,Compressor discharge temp: 87.4°C
2024-03-03 08:01:02,CHILLER-02,STATUS_CHANGE,RUNNING -> SHUTDOWN,Auto-shutdown on fault
2024-03-03 13:52:10,CHILLER-02,FAULT_CLEAR,COMPRESSOR_OVERTEMP,Manual reset by operator
2024-03-03 13:55:30,CHILLER-02,STATUS_CHANGE,SHUTDOWN -> RUNNING,
2024-03-04 22:10:05,PUMP-03,FAULT,LOW_FLOW,Flow < 20 m³/h threshold
2024-03-05 00:45:19,PUMP-03,FAULT_CLEAR,LOW_FLOW,
2024-03-06 11:20:33,COOLING_TOWER-01,STATUS_CHANGE,FAN_SPEED_MANUAL,Operator override: 80%
2024-03-07 09:05:00,CHILLER-01,STATUS_CHANGE,RUNNING -> STANDBY,
